Product,Ref,Buying Price,Selling Price
Tororo cement,CH-0001,32600,33500
Simba Cement,CH-0002,32100,33000
Y-10 Iron bars,CH-0003,28500,30000
Y-12 Iron bars,CH-0004,38500,40000
R-4 (rings),CH-0005,2000,3000
R-6(rings),CH-0006,6500,8000
R-7(rings),CH-0007,8000,10000
Conduits (small),CH-0008,1200,2000
Conduits (Big),CH-0009,1700,2500
PVC-4 ,CH-0010,39000,45000
PVC-3,CH-0011,27000,30000
PVC-2,CH-0012,24000,28000
PVC-1.5,CH-0013,18000,22000
Gutters,CH-0014,27000,30000
Timber,CH-0015,6300,7000
Bottom,CH-0016,3400,4000
Face boards,CH-0017,15250,19000
Bowsaw Blades,CH-0018,10500,12000
Payan (big),CH-0019,30000,35000
Payan (small),CH-0020,5000,8000
Hacksaw Blades,CH-0021,2700,4000
Babyrollers,CH-0022,2500,4000
Superglue,CH-0023,,
Juneg goodmala,CH-0024,12000,15000
Wiseup goodmala,CH-0025,8000,12000
Hacksaw frame(local),CH-0026,4500,8000
Hacksaw frame(modern),CH-0027,6000,10000
Handsaw,CH-0028,,
Wooden scrubbing brushes,CH-0029,4500,6000
Plastic scrubbing brushes,CH-0030,,
Metalic rakes(big),CH-0031,,
Plastic rakes,CH-0032,,
PVC-cement,CH-0033,,
Cramps,CH-0034,,
One waytrap,CH-0035,,
Expanded metal,CH-0036,,
G-10,CH-0037,,
Metalic rakes(small),CH-0038,,
Wheel barrow,CH-0039,125000,140000
Flat filers,CH-0040,,
Drum,CH-0041,67000,80000
